MunicipioId;CondicionId;Mes;Codigo;Descripcion
21;0;1;CL;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;1;CM;Suelos no aptos por acidez extrema y profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;1;CN;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;1;CO;Suelos no aptos por acidez extrema y alto contenido de aluminio, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;1;CP;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;1;CQ;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;1;CZ;No Apto (Zona Urbana)
21;0;2;BL;Suelos no aptos por profundidad efectiva muy superficial, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;BM;Suelos no aptos por acidez extrema y profundidad efectiva muy superficial, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;BN;Suelos no aptos por profundidad efectiva muy superficial, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;BO;Suelos no aptos por acidez extrema y alto contenido de aluminio, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;BZ;No Apto (Zona Urbana)
21;0;2;CL;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;CM;Suelos no aptos por acidez extrema y profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;CN;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;CO;Suelos no aptos por acidez extrema y alto contenido de aluminio, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;CP;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;CQ;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;DL;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;DN;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;2;DQ;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;3;CL;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;3;CM;Suelos no aptos por acidez extrema y profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;3;CN;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;3;CO;Suelos no aptos por acidez extrema y alto contenido de aluminio, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;3;CP;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;3;CQ;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;3;CZ;No Apto (Zona Urbana)
21;0;3;DQ;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;BL;Suelos no aptos por profundidad efectiva muy superficial, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;BM;Suelos no aptos por acidez extrema y profundidad efectiva muy superficial, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;BN;Suelos no aptos por profundidad efectiva muy superficial, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;BO;Suelos no aptos por acidez extrema y alto contenido de aluminio, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;BQ;Suelos no aptos por profundidad efectiva muy superficial, y con baja probabilidad (20 - 40 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;BZ;No Apto (Zona Urbana)
21;0;4;CL;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;CN;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;CO;Suelos no aptos por acidez extrema y alto contenido de aluminio, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;CP;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;CQ;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;DL;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;DN;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;4;DQ;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;5;CL;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;5;CM;Suelos no aptos por acidez extrema y profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;5;CN;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;5;CO;Suelos no aptos por acidez extrema y alto contenido de aluminio, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;5;CQ;Suelos no aptos por profundidad efectiva muy superficial, y con probabilidad media (40 - 60 %) que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;5;CZ;No Apto (Zona Urbana)
21;0;5;DL;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
21;0;5;DN;Suelos no aptos por profundidad efectiva muy superficial, y con alta probabilidad (60 - 80 %)  que presente condiciones de exceso de humedad para el cultivo de aguacate
