MunicipioId;CondicionId;Mes;Codigo;Descripcion
49;2;2;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;CM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;CN;Suelos condicionados a manejo por acidez, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;CO;Suelos condicionados a manejo por la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;CP;Suelos condicionados por pendiente, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;CQ;Suelos no aptos por condiciones del suelo, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;CR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;CY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;CZ;Suelos No Aptos (Zona Urbana)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;2;DR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad alta (60 - 80 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CN;Suelos condicionados a manejo por acidez, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CO;Suelos condicionados a manejo por la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CP;Suelos condicionados por pendiente, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CQ;Suelos no aptos por condiciones del suelo, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;CZ;Suelos No Aptos (Zona Urbana)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;DQ;Suelos no aptos por condiciones del suelo, y con probabilidad alta (60 - 80 %) que presente deficiencias de humedad para el cultivo de melón
49;2;3;DR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad alta (60 - 80 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;AM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad muy baja (0 - 20 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;AP;Suelos condicionados por pendiente, y con probabilidad muy baja (0 - 20 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;AQ;Suelos no aptos por condiciones del suelo, y con probabilidad muy baja (0 - 20 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BL;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BN;Suelos condicionados a manejo por acidez, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BO;Suelos condicionados a manejo por la textura, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BP;Suelos condicionados por pendiente, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BQ;Suelos no aptos por condiciones del suelo, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;BZ;Suelos No Aptos (Zona Urbana)y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;CN;Suelos condicionados a manejo por acidez, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;CP;Suelos condicionados por pendiente, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;CQ;Suelos no aptos por condiciones del suelo, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;CR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;4;CY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;AM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad muy baja (0 - 20 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;AP;Suelos condicionados por pendiente, y con probabilidad muy baja (0 - 20 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;AQ;Suelos no aptos por condiciones del suelo, y con probabilidad muy baja (0 - 20 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;BM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;BN;Suelos condicionados a manejo por acidez, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;BO;Suelos condicionados a manejo por la textura, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;BP;Suelos condicionados por pendiente, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;BQ;Suelos no aptos por condiciones del suelo, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;BR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;BY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad baja (20 - 40 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CM;Suelos aptos a condicionados por manejo de la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CN;Suelos condicionados a manejo por acidez, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CO;Suelos condicionados a manejo por la textura, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CP;Suelos condicionados por pendiente, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CQ;Suelos no aptos por condiciones del suelo, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CR;Suelos no aptos por alturas superiores a 1200 msnm, y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CY;Suelos No Aptos (Cuerpo de Agua)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
49;2;5;CZ;Suelos No Aptos (Zona Urbana)y con probabilidad media (40 - 60 %) que presente deficiencias de humedad para el cultivo de melón
