MunicipioId;CondicionId;Mes;Codigo;Descripcion
56;0;8;BL;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;BN;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;BO;Suelos condicionados a manejo por textura, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;BP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;BY;No apto (cuerpos y corrientes de agua)
56;0;8;BQ; Suelos no aptos por profundidad efectiva, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;DL;Suelos aptos, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;DN;Suelos aptos, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;DO;Suelos condicionados a manejo por textura, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;DP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;DY;No apto (cuerpos y corrientes de agua)
56;0;8;DQ; Suelos no aptos por profundidad efectiva, y con probabilidad alta (60 - 80 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;CN;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;CM;Suelos condicionados a manejo por profundidad efectiva, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;CO;Suelos condicionados a manejo por textura, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;CP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;CY;No apto (cuerpos y corrientes de agua)
56;0;8;CQ; Suelos no aptos por profundidad efectiva, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;8;CZ;No apto  (zona urbana)
56;0;12;CL;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;12;CN;Suelos aptos, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;12;CO;Suelos condicionados a manejo por textura, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;12;CP;Suelos condicionados a manejo por pendiente y profundidad, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;12;CY;No apto (cuerpos y corrientes de agua)
56;0;12;CQ; Suelos no aptos por profundidad efectiva, y con probabilidad media (40 - 60 %) que presente excesos de humedad para el cultivo de plátano
56;0;12;CZ;No apto  (zona urbana)
56;0;12;BL;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
56;0;12;BN;Suelos aptos, y con probabilidad baja (20 - 40 %) que presente excesos de humedad para el cultivo de plátano
